option_name,grid_count,beta,date,option_ask-2,option_ask-1,option_ask0,option_bid-2,option_bid-1,option_bid0,stock_ask0,stock_bid0,ivol-2,ivol-1,ivol-0,est+1,est+2,option_mean+1,option_mean+2,option_ask+1,option_ask+2,option_bid+1,option_bid+2,stock_ask-1,stock_ask-2,stock_ask+1,stock_ask+2,stock_bid-1,stock_bid-2,stock_bid+1,stock_bid+2,ivol+1,ivol+2,option_type,minimizer_error+1,minimizer_error+2
LMT US 01/21/22 C350 Equity,20.0,0.01,2019-09-18,76.19999695,77.0,79.19999695,66.5,67.5,69.5,396.8,396.79,0.23364000000000001,0.23364000000000001,0.21637,78.12910986724691,82.44737986224803,71.0,71.0,76.19999695,72.59999847,68.80000305,64.19999695,394.06,392.84,393.51,388.9,394.05,392.83,393.5,388.89,0.21637,0.21637,C,0.07764289472064705,0.20537109097292128
MO US 01/21/22 C40 Equity,20.0,0.01,2019-09-18,8.0,8.25,8.19999981,6.19999981,6.0,6.0,40.97,40.96,0.31089,0.30441,0.30414,7.06194376999609,6.915767099381622,5.9000001,6.4000001,6.30000019,6.650000099999999,5.80000019,6.19999981,41.32,41.48,40.04,40.78,41.31,41.47,40.03,40.77,0.31649,0.3197,C,0.1672633963993462,0.07638399187842845
NKTR US 01/21/22 C20 Equity,20.0,0.01,2019-09-18,10.30000019,10.0,9.5,7.69999981,7.400000099999999,7.0,20.07,20.06,0.7279899999999999,0.7279899999999999,0.7279899999999999,7.674433378369473,6.952622933678839,9.80000019,9.80000019,9.69999981,9.60000038,6.900000099999999,6.80000019,20.71,21.24,20.22,20.18,20.7,21.23,20.21,20.17,0.7279899999999999,0.7279899999999999,C,0.0753694674725484,0.1521191838984384
PCG US 01/21/22 C10 Equity,20.0,0.01,2019-09-18,5.5,5.5,5.80000019,4.44999981,4.5999999,4.94999981,11.76,11.75,0.94815,0.94419,0.96801,6.0109948447553085,6.802596837424481,5.9000001,5.30000019,6.05000019,5.6500001,5.25,4.80000019,11.21,11.03,12.22,11.64,11.2,11.02,12.21,11.63,1.09955,1.0932899999999999,C,0.06389287498858144,0.301932372946275
SO US 01/21/22 C57.5 Equity,20.0,0.01,2019-09-18,7.55000019,7.94999981,8.10000038,5.1500001,5.55000019,5.75,60.78,60.77,0.18788,0.17850000000000002,0.17850000000000002,6.925150763442402,6.655236346772699,6.48000002,6.48000002,7.69999981,8.0,5.8499999,5.94999981,60.54,59.89,61.07,61.18,60.53,59.88,61.06,61.17,0.17850000000000002,0.17850000000000002,C,0.02216249618538216,0.04584423836308294
T US 01/21/22 C30 Equity,20.0,0.01,2019-09-18,8.19999981,7.900000099999999,7.44999981,7.5,7.400000099999999,6.94999981,36.73,36.72,0.23736,0.23325,0.23864000000000002,6.475054133263142,5.578921479034761,7.25,8.0,7.599999900000001,8.5,7.25,8.0,37.12,37.43,37.12,37.95,37.11,37.42,37.11,37.94,0.23864000000000002,0.23875,C,0.12793883139849155,0.32376709345033194
VLO US 01/21/22 C65 Equity,20.0,0.01,2019-09-18,22.45000076,24.54999924,23.39999962,20.10000038,22.39999962,21.10000038,83.62,83.61,0.32006999999999997,0.32006999999999997,0.32796,17.335028085611338,9.621065789389284,23.10000038,23.10000038,23.70000076,23.60000038,21.10000038,20.39999962,84.24,82.46,83.51,82.96,84.23,82.45,83.5,82.95,0.32796,0.32796,C,0.22611483729925033,0.5626788277550325
LMT US 01/21/22 C350 Equity,20.0,0.01,2019-09-19,77.0,79.19999695,76.19999695,67.5,69.5,68.80000305,393.51,393.5,0.23364000000000001,0.21637,0.21637,66.34526718464507,56.8263704200084,71.0,71.0,72.59999847,71.59999847,64.19999695,62.5,396.8,394.06,388.9,387.82,396.79,394.05,388.89,387.81,0.21637,0.21637,C,0.030039920967052044,0.1524776872727372
MO US 01/21/22 C40 Equity,20.0,0.01,2019-09-19,8.25,8.19999981,6.30000019,6.0,6.0,5.80000019,40.04,40.03,0.30441,0.30414,0.31649,3.756562033893172,0.6684247670265282,6.4000001,6.5,6.650000099999999,8.39999962,6.19999981,6.19999981,40.97,41.32,40.78,40.87,40.96,41.31,40.77,40.86,0.3197,0.32285,C,0.415321080123934,0.908434959846224
NEWR US 01/21/22 C70 Equity,20.0,0.01,2019-09-19,16.0,16.0,17.5,11.10000038,11.0,12.5,62.89,62.88,0.46057,0.46057,0.46057,18.382198173140246,22.773683993915252,14.55000019,14.55000019,18.0,18.5,13.10000038,13.60000038,60.25,60.35,63.26,64.35,60.24,60.34,63.25,64.34,0.46057,0.46057,C,0.18213491630447662,0.41892110431901836
NKTR US 01/21/22 C20 Equity,20.0,0.01,2019-09-19,10.0,9.5,9.69999981,7.400000099999999,7.0,6.900000099999999,20.22,20.21,0.7279899999999999,0.7279899999999999,0.7279899999999999,8.986169472204981,10.021058508784787,9.80000019,9.80000019,9.60000038,9.5,6.80000019,6.900000099999999,20.07,20.71,20.18,19.93,20.06,20.7,20.17,19.92,0.7279899999999999,0.7279899999999999,C,0.09587428779034238,0.22208029849765512
PCG US 01/21/22 C10 Equity,20.0,0.01,2019-09-19,5.5,5.80000019,6.05000019,4.5999999,4.94999981,5.25,12.22,12.21,0.94419,0.96801,1.09955,5.905146423015977,6.068484607784277,5.30000019,5.0,5.6500001,5.4000001,4.80000019,4.6500001,11.76,11.21,11.64,11.53,11.75,11.2,11.63,11.52,1.0932899999999999,1.05445,C,0.1301715328499722,0.20765860438177447
SO US 01/21/22 C57.5 Equity,20.0,0.01,2019-09-19,7.94999981,8.10000038,7.69999981,5.55000019,5.75,5.8499999,61.07,61.06,0.17850000000000002,0.17850000000000002,0.17850000000000002,6.2880556409349175,5.486856827183495,6.48000002,6.48000002,8.0,7.849999900000001,5.94999981,6.19999981,60.78,60.54,61.18,61.35,60.77,60.53,61.17,61.34,0.17850000000000002,0.17850000000000002,C,0.09848663418226702,0.2189527486924774
T US 01/21/22 C30 Equity,20.0,0.01,2019-09-19,7.900000099999999,7.44999981,7.599999900000001,7.400000099999999,6.94999981,7.25,37.12,37.11,0.23325,0.23864000000000002,0.23864000000000002,8.391878396559969,9.889502040622489,8.0,8.14999962,8.5,8.10000038,8.0,7.94999981,36.73,37.12,37.95,37.62,36.72,37.11,37.94,37.61,0.23875,0.2461,C,0.017197381401208366,0.23233668829289772
TOL US 01/21/22 C55 Equity,20.0,0.01,2019-09-19,4.0,3.4000001,3.20000005,1.79999995,1.45000005,1.5,39.07,39.06,0.28061,0.28061,0.28061,2.7409192313154684,3.4314810731944805,3.07999992,3.07999992,3.29999995,3.4000001,1.39999998,1.39999998,39.19,40.62,39.03,39.26,39.18,40.61,39.02,39.25,0.28061,0.28061,C,0.1663486264415617,0.42978375666797086
VLO US 01/21/22 C65 Equity,20.0,0.01,2019-09-19,24.54999924,23.39999962,23.70000076,22.39999962,21.10000038,21.10000038,83.51,83.5,0.32006999999999997,0.32796,0.32796,24.124252921683464,26.92095240426487,23.10000038,20.89999962,23.60000038,24.54999924,20.39999962,21.45000076,83.62,84.24,82.96,84.19,83.61,84.23,82.95,84.18,0.32796,0.30143000000000003,C,0.096556950985612,0.17047619148977697
WU US 01/21/22 C22 Equity,20.0,0.01,2019-09-19,3.70000005,3.9000001,3.5999999,2.29999995,1.95000005,2.25,22.7,22.69,0.21581,0.21581,0.21581,2.992154959023505,3.0630744631458726,2.8499999,2.8499999,3.79999995,3.4000001,1.79999995,2.0999999,22.8,22.83,22.54,22.52,22.79,22.82,22.53,22.51,0.21581,0.21581,C,0.06862679016244436,0.11384525932577186
LEG US 01/21/22 C45 Equity,20.0,0.01,2019-09-20,6.80000019,6.4000001,6.19999981,2.0,2.0,1.5,40.91,40.9,0.22864,0.22864,0.22864,3.4714319810857237,2.8947421515024625,3.66000009,3.66000009,6.4000001,6.0,1.5,1.5,41.23,42.0,41.1,40.55,41.22,41.99,41.09,40.54,0.22864,0.22864,C,0.1211564716092285,0.22806875959934333
LMT US 01/21/22 C350 Equity,20.0,0.01,2019-09-20,79.19999695,76.19999695,72.59999847,69.5,68.80000305,64.19999695,388.9,388.89,0.21637,0.21637,0.21637,61.99603001719182,53.9841970985441,71.0,71.0,71.59999847,71.69999695,62.5,64.5,393.51,396.8,387.82,388.99,393.5,396.79,387.81,388.98,0.21637,0.21637,C,0.07537612640523367,0.20728049475122848
MO US 01/21/22 C40 Equity,20.0,0.01,2019-09-20,8.19999981,6.30000019,6.650000099999999,6.0,5.80000019,6.19999981,40.78,40.77,0.30414,0.31649,0.3197,8.416578801623272,11.589475850091386,6.5,6.05000019,8.39999962,7.05000019,6.19999981,5.5,40.04,40.97,40.87,40.81,40.03,40.96,40.86,40.8,0.32285,0.30648000000000003,C,0.15295604523503367,0.8469283943638547
